Emotion|Cleaned lyrics
Confident|chorus go second best baby put love test know know got make express feel maybe know love real need diamond ring eighteen karat gold fancy car go fast know never last need big strong hand life higher ground make feel like queen throne make love till come never come chorus long stem rose way heart need start head satin sheet romantic happens bed deserve best life time right move second best never enough much better baby baby chorus express got make express hey hey hey hey want right make show express got oh baby ready gone might regret think love try carry get back knee express got make express hey hey
Passionate|believe real way make feel burning deep inside love cannot hide love baby make world go round doin lovin layin trouble baby come take baby come take take hand show baby always end way begging every day love cannot broke heart half love baby make world go round doin lovin layin trouble baby come take baby come take take hand show baby always call helpin hand know best take much cup joe oh love inside believe one explodin tough oh baby worry tell trouble ever worry one thing ask everybody everybody see find yourselve lost alone darkened street baby come take baby come take take hand show baby
Amiable-good natured|believe frettin grievin mess around strife never cut step strut give simple life find pleasant dining pheasant thing roll knife serve tomato mashed potato give simple life cottage small one spacious wide house ring joy laughter one love inside like high road like low road free care strife sound corny seedy yes indeed give simple life
Humorous|well kid hopped ready go ready go got surfboard going discotheque go go stay break away well new york city really oh yeah oh yeah sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker well punk punk punk rocker punk punk punk rocker punk punk punk rocker punk punk punk rocker well kid hopped ready go ready go got surfboard going discotheque go go stay break away well new york city really oh yeah oh yeah sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker well punk punk punk rocker punk punk punk rocker punk punk punk rocker punk punk punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker sheena punk rocker
Campy|kitty kitty better move along cuz big cat walk break dawn doggonnit baby oohh said doggone hey pussy dog pussy dog pussy houndog bulldog poodlecut baby pussy dog whole mess useless whistle plow pussy dog king jungle call tiger man gonna bird bird dog pussy come wag tail baby fail n pussy dog hey hey hey hully hully gully pedigree france get dance lessin pussy dog come wag tail baby fail n pussy dog cha cha cha
Boisterous|worry bout mind oh hurry take time oh going red tongue getting tied tongue getting tied head mouth getting dry high try try try oh let spend night together need ever let spend night together feel strong disguise oh let spend night together apologize oh let spend night together hang let let could fun groovin around around around oh let spend night together need ever let spend night together let spend night together need ever know smiling baby need guiding baby deciding baby need ever let spend night together let spend night together happen ev ryday oh let spend night together excuse offered anyway oh let spend night together satisfy every need every need know satisfy oh let spend night together need ever let spend night together
Literate|oh marched battle new orleans end early british war young land started growing young blood started flowing marchin anymore killed share indian thousand different fight little big horn heard many men lying saw many dying marchin anymore chorus always old lead u war always young fall look saber gun tell worth stole california mexican land fought bloody civil war yes even killed brother many others marchin anymore marched battle german trench war bound end war oh must killed million men want back marchin anymore chorus flew final mission japanese sky set mighty mushroom roar saw city burning knew learning marchin anymore labor leader screamin close missile plant united fruit scream cuban shore call peace call treason call love call reason marchin marchin
Brooding|sure want nothing give lie say loving best leave u emotional peace hell emotional place mm take walk take rest taste rest taste sadness want top list phenomenally properly kissed overcome 60 second strength together emotional tie stay severed trust treat funk hear beat karmacoma walking suburb exactly lover couple specially body double duplicate wait next kuwait uwait karmacoma jamaica aroma jamaica rom karmacoma sure want nothing give lie say loving best leave u emotional peace hell emotional place mm take walk take rest taste rest taste sadness want top list phenomenally properly kissed overcome 60 second strength together emotional tie stay severed trust treat funk hear beat karmacoma
Campy|ahh ahhh ahh ahhh better beware better take care better watch got long black hair come behind go mind better go never know find ahh ahh ahh ahhh look eye surprised know going behind disguse nobody know buster go steal woman nose anyone know way hear someone say got clue anyone know way got way blockbuster cop running know ever able blockbuster gotta caught gotta taught cause evil anyone ever thought anybody know way hear someone say got aho anybody know way got way blockbuster anybody know way hear someone say got clue anybody know way got way blockbuster ahh ahh ahh ahh ahh ahh ahh ahh buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster buster buster blockbuster
Rousing|come screaming come screaming never seen look like without reason another promise fallen another season pass never took smile away anybody face desperate way look someone still child big country dream stay like lover voice fire mountainside stay alive thought pain truth thing really mattered stay every single hope shattered expecting grow flower desert live breathe see sun wintertime big country dream stay like lover voice fire mountainside stay alive stay alive take look fit happened mean discarded pull head floor come screaming cry everything ever might wanted thought pain truth thing really mattered stay every single hope shattered expecting grow flower desert live breathe see sun wintertime big country dream stay like lover voice fire mountainside stay alive stay alive stay alive
Silly|well saw thing comin sky one long horn one big eye commenced shakin said ooh eee look like purple eater one eyed one horned flyin purple people eater one eyed one horned flyin purple people eater one eyed one horned flyin purple people eater sure look strange one eye well came earth lit tree said mr purple people eater eat heard say voice gruff eat cuz tough one eyed one horned flyin purple people eater one eyed one horned flyin purple people eater one eyed one horned flyin purple people eater sure look strange one horn said mr purple people eater line said eatin purple people sure fine reason came land wanna get job rock roll band well bless soul rock roll flyin purple people eater pigeon toed undergrowed flyin purple people eater wear short short flyin purple people eater sure look strange swung tree lit ground started rock really rockin around crazy ditty swingin tune sing boop boop aboopa lopa lum bam boom well bless soul rock roll flyin purple people eater pigeon toed undergrowed flyin purple people eater like short short flyin little people eater sure look strange purple people went way ya know saw last night tv show blowing really knockin em dead playin rock roll music horn head clarinet solo tequila
Campy|lee velvet mornin straight gonna open gate maybe tell bout phaedra gave life made end velvet mornin straight nancy flower growing hill dragonfly daffodil learn u much look u touch phaedra name lee velvet mornin straight gonna open gate maybe tell bout phaedra gave life made end velvet mornin straight nancy flower thing know secret thing grow learn u much look u touch phaedra name lee velvet mornin straight nancy flower growing hill lee gonna open gate nancy dragonfly daffodil lee maybe tell bout phaedra nancy learn u much lee gave life nancy look u touch fade lee made end
Rowdy|keep fingernail long click play piano keep fingernail long click play piano gonna keep em way till swallow get back texarkana keep fingernail long click play piano keep fingernail long click play piano gonna keep em way till swallow get back louisiana well used chew em nervous missed clickin tickin sound honey gonna keep fingernail long click play piano keep fingernail long click play piano gonna keep em way till swallow get back alabama
Rousing|want lose good thing got cause surely surely lose lot cause love better love know like thunder lightning way love frightening better knock knock wood baby superstitious ya take chance got spinnin baby baby trance cause love better love know like thunder lightning way love frightening better knock knock wood baby secret woman loving cup cause see get enough one touch know mean much like thunder lightning way love frightening better knock knock wood baby better knock knock knock oh yeah think better knock knock knock wood think better knock knock knock wood think better knock knock knock wood
Autumnal|box colorful hill wind lifting tired foot skin sensing challenge ahead prayer prayer prayer success prayer prayer prayer always die time losing dream face face sleeping losing dream open mouth breathing unadmired being dread due change ahead prayer prayer prayer success prayer prayer prayer always die time like empty roof life poor dove like empty roof
Wistful|may always love long star never need doubt make sure god know without ever leave though life would still go believe world could show nothing good would living god know without god know without ever leave well life would still go believe world could show nothing good would living god know without god know without
Campy|tainted love love go 12 mix soft cell sometimes feel got run away got get away pain drive heart love share seems go nowhere lost light toss turn sleep night ran ran run tainted love given give boy could give take tear nearly tainted love whoa tainted love know got run away got get away really want make thing right need someone hold tight think love pray sorry pray way ran ran run tainted love given give boy could give take tear nearly tainted love whoa tainted love touch please cannot stand way tease love though hurt gonna pack thing go tainted love whoa tainted love whoa tainted love whoa tainted love whoa touch baby tainted love touch baby tainted love tainted love whoa tainted love whoa tainted love tainted love baby baby love go oh leave leave got burnin yearnin yearnin feelin inside ooohh deep inside hurt bad came life tenderly burning love sting like bee surrounded helplessly know believe wanna leave oh baby baby love go oh leave leave oh baby baby love go oh leave leave came life tenderly burning love sting like bee surrounded helplessly know believe wanna leave oh baby baby love go oh baby baby leave got burnin yearnin yearnin feelin inside oooh deep inside hurt bad baby baby baby love go leave leave surrounded helplessly know believe wanna leave oh baby baby love go love go surrounded oh helplessly know believe wanna leave baby love go love go baby baby love go oh leave wanna leave got burnin yearnin yearnin feelin inside oooooooohh deep inside hurt bad baby baby
Poignant|play game anymore still friend thing go like still friend something learn time wheel turn thing said one one know gone let admit made mistake still friend heartbreak never easy take still friend strange sad affair sometimes seems like care waste time feeling hurt hell together la la la la la la la la still friend still get together sometime awoke dream thing always seem memory linger like sweet sad old song
whimsical|every day take morning bath wet hair wrap towel around heading bedroom chair another day slipping stocking stepping shoe dipping pocket raincoat another day office paper grow take break drink another coffe find hard stay awake another day another day another day chorus sad sad sometimes feel sad alone apartment dwell till man dream come break spell ah stay stand come stay leaf next day sad sometimes feel sad post another letter sound five people gather round find hard stay alive another day another day chorus every day take morning bath wet hair wrap towel around heading bedroom chair another day slipping stocking stepping shoe dipping pocket raincoat another day another day another day
Bittersweet|still know waiting time running wild million dead end street every time thought got made seemed taste sweet turned face never caught glimpse others must see faker much fast take test ch ch ch ch change turn face stranger ch ch change want richer man ch ch ch ch change turn face stranger ch ch change gonna different man time may change trace time watch ripple change size never leave stream warm impermanence day float eye still day seem child spit try change world immune consultation quite aware going ch ch ch ch change turn face stranger ch ch change tell grow ch ch ch ch change turn face stranger ch ch change shame left u neck time may change trace time strange fascination fascinating change taking pace going ch ch ch ch change turn face stranger ch ch change oh look rock n roller ch ch ch ch change turn face stranger ch ch change pretty soon gonna get little older time may change trace time said time may change trace time
Bittersweet|anna come ask girl set free girl say love set free go go anna girl go want know still love love mo go life searchin girl love like love oh every girl ever break heart leave sad supposed oh anna one thing girl give back ring set free go chorus anna one thing girl give back ring set free go go girl go
Rowdy|well heard news good rockin tonight well heard news good rockin tonight gonna hold baby tight tonight know mighty mighty man heard news good rockin tonight say well meet hurry behind barn afraid darling harm want bring along rockin shoe cause tonight gonna rock away blue heard news good rockin tonight well gonna rock gonna rock let rock come rock gonna rock blue away heard news everybody rockin tonight heard news everybody rockin tonight gonna hold baby tight well tonight know mighty mighty man heard news good rockin tonight well gonna rock rock rock come rock rock rock well rock rock rock rock let rock rock rock rock gonna rock blue away
Wry|thing life bad really make mad thing make swear curse chewing life gristle grumble give whistle help thing turn best always look bright side life whistle always look light side life whistle life seems jolly rotten something forgotten laugh smile dance sing feeling dump silly chump purse lip whistle thing always look bright side life whistle always look right side life whistle life quite absurd death final word must always face curtain bow forget sin give audience grin enjoy last chance anyhow always look bright side death whistle draw terminal breath whistle life piece shit look life laugh death joke true see show keep em laughing go remember last laugh always look bright side life always look right side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle always look bright side life whistle
Campy|keep saying got something something call love confess messin messin someone else getting best well boot made walking one day boot gonna walk keep lyin oughta truthin keep losing oughta bet keep samin oughta changin right right right yet boot made walking one day boot gonna walk leadbreak keep playing playing keep thinking never get burnt hah well found brand new box match yeah know time learn boot made walking one day boot gonna walk spoken ready boot start walkin
Literate|hey mr tambourine man play song sleepy place going hey mr tambourine man play song jingle jangle morning come followin though know evenin empire returned sand vanished hand left blindly stand still sleeping weariness amazes branded foot one meet ancient empty street dead dreaming hey mr tambourine man play song sleepy place going hey mr tambourine man play song jingle jangle morning come followin take trip upon magic swirlin ship sens stripped hand feel grip toe numb step wait boot heel wanderin ready go anywhere ready fade parade cast dancing spell way promise go hey mr tambourine man play song sleepy place going hey mr tambourine man play song jingle jangle morning come followin though might hear laughin spinnin swingin madly across sun aimed anyone escapin run sky fence facin hear vague trace skippin reel rhyme tambourine time ragged clown behind pay mind shadow seein chasing hey mr tambourine man play song sleepy place going hey mr tambourine man play song jingle jangle morning come followin take disappearin smoke ring mind foggy ruin time far past frozen leaf haunted frightened tree windy beach far twisted reach crazy sorrow yes dance beneath diamond sky one hand waving free silhouetted sea circled circus sand memory fate driven deep beneath wave let forget today tomorrow hey mr tambourine man play song sleepy place going hey mr tambourine man play song jingle jangle morning come followin
